"window","url","title","hostname"
"Window 4","https://en.wikipedia.org/wiki/Backpropagation","Backpropagation - Wikipedia","en.wikipedia.org"
"Window 4","https://www.deeplearningbook.com.br/?s=Algoritmo+Backpropagation+Parte+1","Você pesquisou por Algoritmo Backpropagation Parte 1 - Deep Learning Book","deeplearningbook.com.br"
"Window 4","https://www.amazon.com.br/Redes-Neurais-Princípios-e-Prática-ebook/dp/B073QSG69Y/ref=tmm_kin_swatch_0?_encoding=UTF8&qid=1516302804&sr=1-1","Redes Neurais: Princípios e Prática eBook : Haykin, Simon: Amazon.com.br: Livros","amazon.com.br"
"Window 4","https://ruder.io/","Sebastian Ruder","ruder.io"
"Window 4","https://ruder.io/deep-learning-optimization-2017/","Optimization for Deep Learning Highlights in 2017","ruder.io"
"Window 4","https://ruder.io/requests-for-research/","Requests for Research","ruder.io"
"Window 4","https://www.google.com/search?q=feedforward+redes+neurais&rlz=1C1GCEA_enBR1011BR1011&sxsrf=ALiCzsY5u72REVhzq2XT_AyBtpWnsuT6hg%3A1659038746887&ei=GuziYsTgNZi35OUP25GHqAw&oq=feedforward+re&gs_lcp=Cgdnd3Mtd2l6EAMYADIFCAAQgAQyBQgAEMsBMgUIABDLATIFCAAQywEyBQgAEMsBMgUIABDLATIFCAAQywEyBQgAEMsBMgUIABDLATIFCAAQywE6BwgAEEcQsAM6BAgjECc6BwgAELEDEEM6BAgAEENKBAhBGABKBAhGGABQxwZY9RlgpShoAXABeACAAZ0BiAGVBJIBAzAuNJgBAKABAcgBCMABAQ&sclient=gws-wiz","feedforward redes neurais - Pesquisa Google","google.com"
"Window 4","https://www.encyclopedia.com/science/encyclopedias-almanacs-transcripts-and-maps/birth-graph-theory-leonhard-euler-and-konigsberg-bridge-problem","The Birth of Graph Theory: Leonhard Euler and the Königsberg Bridge Problem | Encyclopedia.com","encyclopedia.com"
"Window 4","https://en.wikipedia.org/wiki/Dynamic_programming","Programação dinâmica - Wikipedia","en.wikipedia.org"
"Window 4","https://www.google.com/search?q=regra+da+cadeia+multivariada&rlz=1C1GCEA_enBR1011BR1011&sourceid=chrome&ie=UTF-8","regra da cadeia multivariada - Pesquisa Google","google.com"
"Window 4","https://www.google.com/search?q=derivada+parcial&rlz=1C1GCEA_enBR1011BR1011&sourceid=chrome&ie=UTF-8","derivada parcial - Pesquisa Google","google.com"
"Window 4","https://www.google.com/search?q=diferenciação+no+modo+reverso&rlz=1C1GCEA_enBR1011BR1011&sourceid=chrome&ie=UTF-8","diferenciação no modo reverso - Pesquisa Google","google.com"
"Window 4","https://www.google.com/search?q=Chain+Rule&rlz=1C1GCEA_enBR1011BR1011&sourceid=chrome&ie=UTF-8","Chain Rule - Pesquisa Google","google.com"
"Window 4","https://www.iro.umontreal.ca/~vincentp/ift3395/lectures/backprop_old.pdf","backprop_old.pdf","iro.umontreal.ca"
"Window 4","https://www.deeplearningbook.com.br/construindo-uma-rede-neural-com-linguagem-python/","Capítulo 13 - Construindo Uma Rede Neural Com Linguagem Python - Deep Learning Book","deeplearningbook.com.br"
"Window 4","https://github.com/dsacademybr/DeepLearningBook","dsacademybr/DeepLearningBook: Repositório do Deep Learning Book - www.deeplearningbook.com.br","github.com"
"Window 4","https://www.google.com/search?q=regra+delta&rlz=1C1GCEA_enBR1011BR1011&sourceid=chrome&ie=UTF-8","regra delta - Pesquisa Google","google.com"
"Window 4","https://plataforma.bvirtual.com.br/Acervo/Publicacao/161682","Biblioteca Virtual","plataforma.bvirtual.com.br"
"Window 4","https://plataforma.bvirtual.com.br/Leitor/Publicacao/161682/epub/0?code=GvGCEWEvt3ADlbV0FNAnW0G7dW10ZDm3JAdFKH4koUWFh1eSLxlL2W8glRkvS9+zmGqR7bWMG+bXpmikIa/vbg==","Leitor - Biblioteca Virtual Universitária","plataforma.bvirtual.com.br"
"Window 4","https://medium.com/tentando-ser-um-unicórnio/porquê-e-quando-é-necessário-normalizar-os-dados-92e5cce445aa#:~:text=O objetivo da normalização é,conjuntos de dados requerem normalização.","Porquê e Quando é Necessário Normalizar os Dados | by Cloves Paiva | Estudante-C | Medium","medium.com"
"Window 4","https://medium.com/@mgulum98/understanding-recurrent-neural-networks-rnn-1c82b01cecf4","Understanding Recurrent Neural Networks (RNN) | by Melih GULUM | Jul, 2022 | Medium","medium.com"
"Window 4","https://medium.com/@mgulum98/a-guide-of-convolutional-neural-network-cnn-layers-6b61fb8e121b","A Gentle Guide of Convolutional Neural Network (CNN) Layers | by Melih GULUM | Jul, 2022 | Medium","medium.com"